# equal-count matrix (12 vs 12, reps=400)
RESULT red=warrior:12 blue=warrior:12 reps=400 muster=False red_wins=197 blue_wins=203 draws=0
RESULT red=warrior:12 blue=scout:12 reps=400 muster=False red_wins=400 blue_wins=0 draws=0
RESULT red=warrior:12 blue=siege:12 reps=400 muster=False red_wins=0 blue_wins=400 draws=0
RESULT red=scout:12 blue=warrior:12 reps=400 muster=False red_wins=0 blue_wins=400 draws=0
RESULT red=scout:12 blue=scout:12 reps=400 muster=False red_wins=183 blue_wins=217 draws=0
RESULT red=scout:12 blue=siege:12 reps=400 muster=False red_wins=0 blue_wins=400 draws=0
RESULT red=siege:12 blue=warrior:12 reps=400 muster=False red_wins=400 blue_wins=0 draws=0
RESULT red=siege:12 blue=scout:12 reps=400 muster=False red_wins=400 blue_wins=0 draws=0
RESULT red=siege:12 blue=siege:12 reps=400 muster=False red_wins=203 blue_wins=197 draws=0
# break-even sweeps: winner:k vs loser:12 (reps=200)
RESULT red=warrior:6 blue=scout:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=warrior:8 blue=scout:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=warrior:10 blue=scout:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=warrior:12 blue=scout:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=warrior:14 blue=scout:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=warrior:16 blue=scout:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=warrior:18 blue=scout:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=warrior:20 blue=scout:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=warrior:24 blue=scout:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=scout:6 blue=siege:12 reps=200 muster=False red_wins=0 blue_wins=200 draws=0
RESULT red=scout:8 blue=siege:12 reps=200 muster=False red_wins=0 blue_wins=200 draws=0
RESULT red=scout:10 blue=siege:12 reps=200 muster=False red_wins=0 blue_wins=200 draws=0
RESULT red=scout:12 blue=siege:12 reps=200 muster=False red_wins=0 blue_wins=200 draws=0
RESULT red=scout:14 blue=siege:12 reps=200 muster=False red_wins=0 blue_wins=200 draws=0
RESULT red=scout:16 blue=siege:12 reps=200 muster=False red_wins=0 blue_wins=200 draws=0
RESULT red=scout:18 blue=siege:12 reps=200 muster=False red_wins=0 blue_wins=200 draws=0
RESULT red=scout:20 blue=siege:12 reps=200 muster=False red_wins=0 blue_wins=200 draws=0
RESULT red=scout:24 blue=siege:12 reps=200 muster=False red_wins=0 blue_wins=200 draws=0
RESULT red=siege:6 blue=warrior:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=siege:8 blue=warrior:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=siege:10 blue=warrior:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=siege:12 blue=warrior:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=siege:14 blue=warrior:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=siege:16 blue=warrior:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=siege:18 blue=warrior:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=siege:20 blue=warrior:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
RESULT red=siege:24 blue=warrior:12 reps=200 muster=False red_wins=200 blue_wins=0 draws=0
